General Travel	Travel & Transport
Bakery	Food
French Restaurant	Food
Bagel Shop	Food
Beer Garden	Nightlife Spot
Food	Food
Bowling Alley	Arts & Entertainment
Art Gallery	Arts & Entertainment
Concert Hall	Arts & Entertainment
Factory	Professional & Other Places
Subway	Travel & Transport
Public Art	Arts & Entertainment
Camera Store	Shop & Service
Campground	Outdoors & Recreation
Ramen /  Noodle House	Food
Castle	Outdoors & Recreation
Paper / Office Supplies Store	Shop & Service
Temple	Professional & Other Places
Flower Shop	Shop & Service
Beach	Outdoors & Recreation
Shrine	Professional & Other Places
Moroccan Restaurant	Food
Smoke Shop	Shop & Service
Design Studio	Shop & Service
Bridal Shop	Shop & Service
Funeral Home	Professional & Other Places
Clothing Store	Shop & Service
BBQ Joint	Food
Bank	Shop & Service
Jewelry Store	Shop & Service
Neighborhood	Outdoors & Recreation
Miscellaneous Shop	Shop & Service
Caribbean Restaurant	Food
Garden Center	Shop & Service
Sporting Goods Shop	Shop & Service
Arcade	Arts & Entertainment
Gaming Cafe	Shop & Service
Distillery	Professional & Other Places
Sorority House	College & University
Steakhouse	Food
Tapas Restaurant	Food
Rest Area	Travel & Transport
Zoo	Arts & Entertainment
Video Game Store	Shop & Service
Breakfast Spot	Food
Argentinian Restaurant	Food
Scandinavian Restaurant	Food
Newsstand	Shop & Service
Other Great Outdoors	Outdoors & Recreation
Taxi	Travel & Transport
Art Museum	Arts & Entertainment
Harbor / Marina	Outdoors & Recreation
General College & University	College & University
Car Wash	Shop & Service
Caf	Food
Thai Restaurant	Food
Spiritual Center	Professional & Other Places
Light Rail	Travel & Transport
Gift Shop	Shop & Service
Office	Professional & Other Places
Travel Lounge	Travel & Transport
Greek Restaurant	Food
Flea Market	Shop & Service
Synagogue	Professional & Other Places
Embassy / Consulate	Professional & Other Places
Cajun / Creole Restaurant	Food
Cupcake Shop	Food
Mobile Phone Shop	Shop & Service
College & University	College & University
Park	Outdoors & Recreation
Coffee Shop	Food
Burrito Place	Food
Market	Shop & Service
Middle Eastern Restaurant	Food
Southern / Soul Food Restaurant	Food
Library	Professional & Other Places
Deli / Bodega	Food
Ferry	Travel & Transport
Mediterranean Restaurant	Food
Law School	College & University
Board Shop	Shop & Service
Cuban Restaurant	Food
Cemetery	Outdoors & Recreation
Photography Lab	Shop & Service
Automotive Shop	Shop & Service
Asian Restaurant	Food
Italian Restaurant	Food
Government Building	Professional & Other Places
College Academic Building	College & University
Train Station	Travel & Transport
Mall	Shop & Service
Bookstore	Shop & Service
Korean Restaurant	Food
Rental Car Location	Travel & Transport
Parking	Professional & Other Places
Portuguese Restaurant	Food
Gym / Fitness Center	Outdoors & Recreation
Middle School	Professional & Other Places
Arts & Crafts Store	Shop & Service
Ski Area	Outdoors & Recreation
Bike Rental / Bike Share	Travel & Transport
Nursery School	Professional & Other Places
Event Space	Professional & Other Places
Dessert Shop	Food
Food & Drink Shop	Shop & Service
Ethiopian Restaurant	Food
Playground	Outdoors & Recreation
Vegetarian / Vegan Restaurant	Food
Salon / Barbershop	Shop & Service
Ice Cream Shop	Food
Church	Professional & Other Places
Japanese Restaurant	Food
Shop & Service	Shop & Service
Pool Hall	Arts & Entertainment
Gastropub	Food
Bus Station	Travel & Transport
Animal Shelter	Professional & Other Places
Tattoo Parlor	Shop & Service
Brazilian Restaurant	Food
University	College & University
Falafel Restaurant	Food
Candy Store	Shop & Service
Internet Cafe	Shop & Service
Diner	Food
Pool	Outdoors & Recreation
Medical Center	Professional & Other Places
School	Professional & Other Places
Motorcycle Shop	Shop & Service
Nightlife Spot	Nightlife Spot
Spanish Restaurant	Food
Residential Building (Apartment / Condo)	Residence
Hotel	Travel & Transport
Car Dealership	Shop & Service
Wings Joint	Food
Garden	Outdoors & Recreation
Convention Center	Professional & Other Places
Afghan Restaurant	Food
Molecular Gastronomy Restaurant	Food
Fried Chicken Joint	Food
Latin American Restaurant	Food
River	Outdoors & Recreation
Movie Theater	Arts & Entertainment
College Stadium	College & University
Music School	Professional & Other Places
Building	Professional & Other Places
Housing Development	Residence
Hot Dog Joint	Food
Brewery	Nightlife Spot
Vietnamese Restaurant	Food
Sushi Restaurant	Food
Pet Service	Shop & Service
Record Shop	Shop & Service
Toy / Game Store	Shop & Service
Historic Site	Arts & Entertainment
Home (private)	Residence
Airport	Travel & Transport
Australian Restaurant	Food
Tanning Salon	Shop & Service
Fast Food Restaurant	Food
Bike Shop	Shop & Service
Road	Travel & Transport
Storage Facility	Shop & Service
Hobby Shop	Shop & Service
Cosmetics Shop	Shop & Service
Tea Room	Food
Peruvian Restaurant	Food
Restaurant	Food
Travel & Transport	Travel & Transport
Chinese Restaurant	Food
Winery	Professional & Other Places
Nail Salon	Shop & Service
Bridge	Outdoors & Recreation
Electronics Store	Shop & Service
Soup Place	Food
Spa / Massage	Shop & Service
General Entertainment	Arts & Entertainment
Snack Place	Food
City	Outdoors & Recreation
Gluten-free Restaurant	Food
Music Venue	Arts & Entertainment
Casino	Arts & Entertainment
Professional & Other Places	Professional & Other Places
Malaysian Restaurant	Food
Sculpture Garden	Outdoors & Recreation
Outdoors & Recreation	Outdoors & Recreation
Elementary School	Professional & Other Places
Mac & Cheese Joint	Food
Pet Store	Shop & Service
Eastern European Restaurant	Food
Swiss Restaurant	Food
Hardware Store	Shop & Service
Other Nightlife	Nightlife Spot
Fraternity House	College & University
Burger Joint	Food
Racetrack	Arts & Entertainment
American Restaurant	Food
Performing Arts Venue	Arts & Entertainment
Comedy Club	Arts & Entertainment
Sandwich Place	Food
Laundry Service	Shop & Service
Video Store	Shop & Service
Stadium	Arts & Entertainment
Indian Restaurant	Food
Arepa Restaurant	Food
Medical School	College & University
Furniture / Home Store	Shop & Service
Gas Station / Garage	Shop & Service
Donut Shop	Food
Arts & Entertainment	Arts & Entertainment
College Theater	College & University
Moving Target	Travel & Transport
Science Museum	Arts & Entertainment
Drugstore / Pharmacy	Shop & Service
African Restaurant	Food
Pizza Place	Food
Student Center	College & University
Theater	Arts & Entertainment
High School	Professional & Other Places
History Museum	Arts & Entertainment
Turkish Restaurant	Food
Aquarium	Arts & Entertainment
Salad Place	Food
Department Store	Shop & Service
Dumpling Restaurant	Food
Thrift / Vintage Store	Shop & Service
Bar	Nightlife Spot
Financial or Legal Service	Shop & Service
Scenic Lookout	Outdoors & Recreation
Filipino Restaurant	Food
Plaza	Outdoors & Recreation
Museum	Arts & Entertainment
Post Office	Professional & Other Places
Antique Shop	Shop & Service
South American Restaurant	Food
Dim Sum Restaurant	Food
Recycling Facility	Shop & Service
Mosque	Professional & Other Places
Planetarium	Arts & Entertainment
German Restaurant	Food
Military Base	Professional & Other Places
Music Store	Shop & Service
Food Truck	Food
Taco Place	Food
Seafood Restaurant	Food
Fish & Chips Shop	Food
Convenience Store	Shop & Service
Trade School	College & University
Fair	Professional & Other Places
Athletic & Sport	Outdoors & Recreation
Mexican Restaurant	Food
Community College	College & University
